Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"yay
NV",,248,1.3,280.2,1.44,0.74,176.8,0.98,0.15,0.22,0.12,0.26,0.23,22-May,31,244,170,37,55,29
"Chronicle
GMB",,306,1.28,222.9,1.35,0.78,153,0.8,0.37,0.07,0.05,0.24,0.12,25-Mar,29,245,182,112,22,15
"nAts
GMB",,306,1.28,265.9,1.4,0.8,170.7,0.9,0.3,0.12,0.1,0.31,0.26,23-Jun,30,276,197,93,37,32
"heat
KS",,131,1.27,280.3,1.38,0.7,170.7,0.96,0.13,0.23,0.1,0.28,0.13,8-Jan,26,126,91,17,30,13
"TenZ
SEN",,243,1.25,269.5,1.38,0.74,166.7,0.94,0.19,0.15,0.14,0.21,0.13,15-Feb,32,229,166,47,36,33
"cNed
ACE",,213,1.19,267.8,1.36,0.71,167.3,0.96,0.17,0.16,0.1,0.21,0.11,27-Mar,24,205,151,37,35,22
"sheydos
GMB",,306,1.18,212.5,1.3,0.75,137.3,0.78,0.19,0.1,0.04,0.26,0.19,Jun-32,26,240,185,57,31,13
"MaKo
VS",,144,1.16,205.4,1.27,0.79,143,0.72,0.41,0.06,0.07,0.29,0.04,23-Jan,24,103,81,59,9,10
"murizzz
KS",,131,1.16,239,1.08,0.72,157.5,0.79,0.23,0.18,0.15,0.21,0.17,6-Jan,29,103,95,30,23,20
"nukkye
G2",(+1),275,1.13,232.8,1.23,0.73,154,0.79,0.29,0.11,0.12,0.19,0.19,26-May,22,218,177,81,31,33
"nitr0
100T",(+1),208,1.13,202.7,1.26,0.78,138.2,0.77,0.3,0.08,0.05,0.26,0.13,Apr-31,24,161,128,62,17,11
"d3ffo
GMB",,306,1.13,220.4,1.25,0.73,132,0.79,0.13,0.18,0.13,0.26,0.19,27-May,25,241,193,40,55,41
"keloqz
G2",,275,1.12,257.2,1.32,0.7,163.1,0.95,0.1,0.17,0.11,0.3,0.15,27-Apr,26,261,197,28,46,29
"zeek
ACE",(+1),213,1.09,225.7,1.12,0.74,143.4,0.77,0.25,0.13,0.09,0.17,0.23,22-May,27,165,147,54,28,20
"ShahZaM
SEN",,243,1.09,212.3,1.11,0.67,138.6,0.74,0.23,0.09,0.08,0.21,0.15,27-Apr,26,179,161,56,23,20
"crashies
NV",,248,1.09,218.2,1.11,0.72,147.1,0.75,0.33,0.05,0.06,0.25,0.2,Jul-35,26,187,168,81,13,15
"Laz
ZETA",,92,1.09,248.6,1.23,0.62,149,0.88,0.2,0.13,0.09,0.34,,0/17,20,81,66,18,12,8
"stax
VS",,144,1.09,177.1,1.17,0.73,116.1,0.72,0.34,0.06,0.1,0.34,0.18,17-Mar,21,103,88,49,9,14
"SicK
SEN",,243,1.07,220.3,1.06,0.72,149.2,0.75,0.3,0.15,0.13,0.22,0.05,21-Jan,27,183,173,73,37,31
"v1xen
KS",,131,1.07,166.2,1.08,0.76,120.3,0.63,0.31,0.02,0.04,0.26,0.04,27-Jan,21,83,77,40,3,5
"Redgar
GMB",(+1),306,1.06,176.7,1,0.74,118.9,0.63,0.33,0.11,0.08,0.29,0.09,Mar-32,22,194,194,101,34,26
"Hiko
100T",,208,1.06,187,1.03,0.75,131.4,0.62,0.31,0.04,0.05,0.24,0.2,Sep-44,19,128,124,65,8,10
"Izzy
SUP",,166,1.06,221.9,1.12,0.72,140,0.8,0.14,0.19,0.13,0.19,0.21,19-Apr,26,133,119,24,31,22
"Marved
NV",,248,1.06,196.8,1.05,0.68,133.8,0.7,0.27,0.07,0.09,0.27,0.19,Jun-32,20,174,166,67,17,22
"BuZz
VS",,144,1.05,238.1,1.23,0.66,150.8,0.86,0.11,0.24,0.17,0.2,,0/6,27,124,101,16,34,24
"Victor
NV",,248,1.05,203,1.05,0.7,133.2,0.71,0.34,0.1,0.13,0.25,0.27,11-Mar,23,176,167,85,25,31
"russ
SUP",,166,1.04,212.1,1,0.71,147,0.71,0.28,0.07,0.05,0.28,0.06,17-Jan,20,118,118,46,11,8
"NagZ
KRÜ",,186,1.03,209.2,0.95,0.69,136.8,0.68,0.17,0.21,0.11,0.2,0.09,22-Feb,20,127,134,32,39,21
"Rb
VS",(+1),144,1.03,184.9,1.04,0.77,129.5,0.67,0.4,0.06,0.06,0.25,0.15,13-Feb,21,96,92,57,9,8
"Asuna
100T",,208,1.02,247.4,1.06,0.71,156.4,0.82,0.19,0.22,0.15,0.24,0.11,9-Jan,23,171,162,39,46,31
"Turko
SUP",,166,1.02,163.3,1,0.74,109.8,0.62,0.28,0.06,0.04,0.31,0.17,29-May,19,103,103,47,10,6
"Ethan
100T",,208,1.01,212.7,1.07,0.67,137.4,0.76,0.24,0.11,0.13,0.25,0.14,7-Jan,21,159,148,50,23,27
"AvovA
G2",(+1),275,1.01,176.5,1.02,0.72,118.2,0.66,0.27,0.06,0.1,0.25,0.16,31-May,26,181,178,74,16,28
"pAura
SUP",,166,1.01,191.5,0.97,0.67,125.8,0.66,0.23,0.11,0.18,0.33,0.11,18-Feb,18,110,113,38,18,30
"koldamenta
G2",,275,1.01,177.3,0.95,0.74,125.5,0.62,0.35,0.05,0.09,0.23,0.04,28-Jan,19,170,179,95,15,26
"starxo
ACE",,213,1,182.7,0.93,0.68,123.3,0.64,0.33,0.07,0.09,0.21,0.14,29-Apr,20,136,147,70,14,19
"takej
ZETA",,92,1,209.6,1.04,0.55,138.7,0.76,0.25,0.09,0.1,0.29,,0/8,22,70,67,23,8,9
"Mixwell
G2",(+2),275,0.99,183.6,0.91,0.72,123.1,0.62,0.27,0.08,0.11,0.2,0.07,29-Feb,17,170,187,75,22,30
"Brave
SUP",,166,0.98,209.1,0.94,0.73,142.7,0.68,0.34,0.11,0.07,0.31,,0/11,23,113,120,56,19,11
"Bunny
F4Q",,190,0.97,228.8,0.99,0.69,151.5,0.76,0.17,0.21,0.14,0.15,0.1,21-Feb,26,144,146,33,39,27
"JhoW
KS",,131,0.96,161.2,0.86,0.73,106.4,0.56,0.32,0.07,0.06,0.14,0.25,12-Mar,17,74,86,42,9,8
"zombs
SEN",,243,0.95,156.8,0.87,0.7,108,0.56,0.33,0.04,0.06,0.17,0.14,May-37,19,137,157,79,10,14
"keznit
KRÜ",,186,0.95,227,1.04,0.67,154,0.83,0.24,0.11,0.1,0.25,0.19,16-Mar,31,154,148,45,21,18
"Medusa
CR",,64,0.93,217.3,1.04,0.69,130.5,0.78,0.16,0.16,0.16,0.23,,0/6,18,50,48,10,10,10
"k1Ng
VS",,129,0.92,187.3,0.92,0.71,132.9,0.62,0.18,0.09,0.09,0.28,,0/8,22,80,87,23,12,12
"ntk
KS",,131,0.9,178,0.87,0.66,117,0.62,0.24,0.07,0.08,0.17,0.07,15-Jan,18,81,93,32,9,11
"delz1k
KRÜ",,186,0.9,179.9,0.87,0.68,122.3,0.63,0.21,0.06,0.08,0.28,0.13,Apr-31,23,118,136,39,11,15
"crow
ZETA",,92,0.89,165,0.84,0.64,106.4,0.57,0.27,0.03,0.08,0.2,,0/13,14,52,62,25,3,7
"steel
100T",,208,0.89,174.1,0.79,0.64,118.8,0.58,0.27,0.05,0.12,0.21,0.09,23-Feb,19,120,152,57,11,24
"krain
LBR",,78,0.89,205.5,0.79,0.69,141.1,0.64,0.24,0.09,0.04,0.21,,0/15,18,50,63,19,7,3
"dapr
SEN",(+1),243,0.88,164.6,0.81,0.7,111.7,0.57,0.24,0.08,0.08,0.18,0.12,26-Mar,20,138,171,58,19,20
"d4v41
PRX",,110,0.88,190.6,0.86,0.72,134.7,0.65,0.25,0.1,0.09,0.26,0.07,15-Jan,25,71,83,28,11,10
"f0rsakeN
PRX",,110,0.88,227.6,0.98,0.6,142.6,0.8,0.1,0.24,0.25,0.31,,0/2,27,88,90,11,26,27
"Klaus
KRÜ",,186,0.88,175.9,0.84,0.66,120.5,0.58,0.21,0.08,0.07,0.2,0.03,31-Jan,22,108,128,39,14,13
"neth
CR",,118,0.87,179.2,0.89,0.68,120.8,0.67,0.23,0.07,0.06,0.2,0.17,18-Mar,22,79,89,27,8,7
"Mazino
KRÜ",,186,0.87,169.4,0.79,0.68,113.2,0.59,0.34,0.07,0.11,0.21,0.38,13-May,16,110,139,64,13,21
"Benkai
PRX",,110,0.86,149,0.75,0.61,106.4,0.5,0.13,0.08,0.05,0.24,0.05,19-Jan,15,55,73,14,9,6
"Esperanza
F4Q",,190,0.86,191.4,0.84,0.69,131.9,0.66,0.25,0.09,0.07,0.33,0.04,25-Jan,19,125,148,48,17,13
"Kiles
ACE",(+1),213,0.85,163.3,0.78,0.68,112.2,0.58,0.23,0.05,0.07,0.26,0.09,Mar-33,19,124,159,50,11,14
"shion
LBR",(+1),78,0.83,193.3,0.78,0.63,126.6,0.69,0.09,0.17,0.14,0.17,,0/2,24,54,69,7,13,11
"pleets
LBR",,78,0.83,181.5,0.74,0.68,122.1,0.59,0.31,0.08,0.12,0.16,,0/9,14,46,62,24,6,9
"Bazzi
CR",,54,0.82,211.3,0.79,0.52,141.8,0.63,0.2,0.15,0.06,0.23,,0/10,19,34,43,11,8,3
"liazzi
LBR",,78,0.81,180.8,0.79,0.64,124.7,0.62,0.1,0.06,0.14,0.21,0.29,14-Apr,17,48,61,8,5,11
"zunba
F4Q",,190,0.8,173.8,0.83,0.65,122.2,0.63,0.27,0.06,0.08,0.25,0.05,Feb-42,16,120,144,51,12,16
"ade
CR",,118,0.8,150.3,0.78,0.64,107.7,0.56,0.29,0.01,0.08,0.23,0.16,25-Apr,17,66,85,34,1,10
"Munchkin
CR",,118,0.79,199.8,0.86,0.64,127.9,0.69,0.14,0.12,0.2,0.17,0.2,10-Feb,20,82,95,17,14,24
"BONECOLD
ACE",(+1),213,0.78,145.3,0.68,0.64,97.4,0.5,0.3,0.04,0.19,0.31,0.18,11-Feb,21,106,155,63,9,41
"mindfreak
PRX",,110,0.77,152.6,0.71,0.65,102.1,0.53,0.23,0.03,0.05,0.17,0.05,21-Jan,15,58,82,25,3,5
"Efina
F4Q",,190,0.77,155.9,0.7,0.63,110.1,0.51,0.12,0.06,0.15,0.22,0.25,12-Mar,18,97,139,22,11,28
"FiNESSE
NV",,248,0.76,149.2,0.7,0.56,106.7,0.51,0.16,0.04,0.13,0.19,0.11,28-Mar,18,127,181,39,10,31
"shiba
PRX",,110,0.76,128.8,0.62,0.65,95,0.44,0.28,0.04,0.08,0.2,0.13,8-Jan,18,48,77,31,4,9
"Myssen
LBR",,78,0.71,156.8,0.66,0.62,111.8,0.51,0.23,0.05,0.12,0.45,0.13,16-Feb,13,40,61,18,4,9
"fiveK
F4Q",,190,0.71,159.8,0.68,0.59,110.7,0.55,0.24,0.07,0.07,0.2,0.08,25-Feb,22,105,155,45,13,13
"Fisker
CR",,118,0.7,147.5,0.69,0.58,108.1,0.57,0.25,0.08,0.12,0.3,0.17,12-Feb,23,67,97,29,9,14
"Lakia
VS",,15,0.65,147,0.5,0.47,114.1,0.47,0.07,0.07,0.13,0.33,,0/5,7,7,14,1,1,2
"Reita
ZETA",,92,0.63,152.6,0.64,0.55,96.5,0.51,0.12,0.08,0.25,0.16,0.33,3-Jan,16,47,74,11,7,23
"barce
ZETA",,35,0.55,113.5,0.46,0.6,75.5,0.37,0.34,0.09,0.14,0.15,,0/4,9,13,28,12,3,5
"makiba
ZETA",,57,0.51,110.3,0.41,0.51,82.3,0.32,0.3,0,0.12,0.19,,0/11,8,18,44,17,0,7
