Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"TenZ
SEN",,201,1.35,289.4,1.48,0.81,170.3,1.02,0.27,0.2,0.09,0.2,0.11,2/18,33,206,139,55,41,18
"ScreaM
TL",,193,1.24,265,1.35,0.74,164.5,0.92,0.29,0.13,0.1,0.33,0.05,1/21,30,177,131,56,26,20
"ShahZaM
SEN",,201,1.19,240,1.28,0.78,140.5,0.86,0.26,0.16,0.09,0.23,0.23,6/26,31,172,134,52,32,18
"SicK
SEN",(+1),201,1.16,218.8,1.17,0.79,139.7,0.73,0.3,0.12,0.1,0.24,0.21,3/14,23,147,126,61,24,21
"L1NK
TL",,193,1.12,218.7,1.2,0.79,129.3,0.76,0.3,0.07,0.05,0.3,0.13,3/23,23,147,123,57,13,10
"Mistic
FNC",,355,1.12,191.2,1.17,0.74,119,0.68,0.34,0.05,0.05,0.28,0.15,8/52,24,240,206,120,19,19
"Zellsis
V1",,233,1.12,230.5,1.1,0.73,149.4,0.79,0.26,0.09,0.1,0.16,0.16,4/25,25,184,168,61,21,23
"Lakia
NU",,222,1.11,231.5,1.19,0.73,148,0.78,0.28,0.11,0.08,0.3,0.17,4/23,23,174,146,62,25,17
"Jamppi
TL",,193,1.1,229.4,1.19,0.69,132.8,0.8,0.17,0.19,0.22,0.21,0.33,3/9,31,155,130,32,37,42
"dapr
SEN",,201,1.07,184.7,1.03,0.78,111.9,0.63,0.36,0.06,0.04,0.19,,0/19,20,127,123,73,12,8
"MAGNUM
FNC",,355,1.07,215.6,1.1,0.74,135.7,0.76,0.23,0.09,0.07,0.28,0.22,5/23,26,270,246,83,33,25
"Derke
FNC",,355,1.07,260.4,1.1,0.74,158.1,0.84,0.24,0.22,0.18,0.27,0.15,6/40,34,298,270,85,78,65
"Klaus
KRÜ",,109,1.07,234.2,1.16,0.77,145.6,0.8,0.23,0.15,0.08,0.22,,0/12,23,87,75,25,16,9
"Patiphan
X10",,129,1.05,246.6,1.11,0.68,164.7,0.84,0.29,0.15,0.14,0.28,,0/11,24,109,98,38,16,15
"foxz
X10",,129,1.05,235.6,1,0.78,147,0.78,0.26,0.17,0.07,0.23,0.21,3/14,20,100,100,33,18,7
"Sacy
VKS",,128,1.04,230.4,1.12,0.69,151.7,0.78,0.23,0.06,0.09,0.3,0.08,2/25,26,100,89,30,6,9
"effys
V1",,233,1.04,186.6,1.1,0.73,117.7,0.69,0.3,0.05,0.06,0.23,0.3,12/40,30,161,146,69,11,13
"penny
V1",,233,1.04,227.9,1.07,0.69,144,0.79,0.17,0.16,0.15,0.19,0.23,3/13,26,185,173,40,38,35
"soulcas
TL",,193,1.03,188.9,1,0.76,119.7,0.64,0.33,0.06,0.09,0.29,0.06,1/16,24,124,124,64,11,17
"doma
FNC",(+1),355,1.02,205.9,1.02,0.77,129.4,0.7,0.34,0.06,0.08,0.28,0.13,4/31,21,247,241,120,23,27
"Mazino
KRÜ",,109,1,213.7,0.98,0.72,129.8,0.72,0.42,0.08,0.09,0.17,0.06,1/16,19,78,80,46,9,10
"gaabxx
SHK",(+1),91,0.99,199.6,0.98,0.53,115.5,0.71,0.19,0.13,0.15,0.29,0.13,2/16,22,65,66,17,12,14
"Boaster
FNC",(+1),355,0.96,190.9,1,0.71,118.4,0.68,0.23,0.08,0.11,0.24,0.22,8/37,23,241,241,81,27,39
"neth
CR",,87,0.96,203,1.03,0.63,131,0.72,0.17,0.06,0.11,0.2,0.14,3/22,19,63,61,15,5,10
"peri
NU",,222,0.95,184.3,1.06,0.7,117,0.68,0.19,0.08,0.06,0.25,0.11,5/45,24,151,142,43,17,14
"zombs
SEN",,201,0.93,170.3,0.91,0.76,105.9,0.6,0.33,0.06,0.07,0.15,0.07,1/15,23,121,133,67,13,14
"sScary
X10",,129,0.93,169,1.01,0.68,105.1,0.68,0.27,0.04,0.06,0.14,0.13,2/15,23,88,87,35,4,6
"Kryptix
TL",,193,0.93,161.7,0.89,0.76,106.2,0.54,0.28,0.04,0.05,0.2,0.05,1/20,22,104,117,54,8,9
"Crws
X10",,129,0.91,188.8,0.87,0.7,117.5,0.63,0.26,0.1,0.1,0.17,,0/6,17,81,93,34,11,11
"jammyz
V1",,233,0.91,176.4,0.8,0.67,120.9,0.58,0.24,0.09,0.1,0.16,0.19,6/31,21,136,169,56,20,24
"Sushiboys
X10",,129,0.91,184,0.8,0.66,118.6,0.57,0.22,0.09,0.08,0.16,0.2,3/15,20,74,92,28,9,8
"vanity
V1",,233,0.9,197.6,0.91,0.71,120.5,0.68,0.27,0.11,0.1,0.19,0.14,3/21,24,158,174,63,25,23
"prozin
SHK",,91,0.9,237.4,0.93,0.62,145.9,0.77,0.16,0.21,0.2,0.23,0.33,1/3,20,70,75,15,19,18
"Munchkin
CR",,87,0.88,210.5,0.86,0.7,141.7,0.71,0.31,0.17,0.17,0.14,0.17,1/6,23,62,72,27,15,15
"allow
NU",,222,0.88,198.1,0.92,0.64,125.4,0.68,0.14,0.13,0.15,0.25,0.06,1/18,23,150,163,30,29,33
"Suggest
NU",(+1),222,0.88,186.6,0.92,0.69,107.6,0.66,0.16,0.09,0.09,0.3,,0/16,17,146,158,36,20,21
"saadhak
VKS",,128,0.86,186.4,0.88,0.62,120.9,0.63,0.2,0.1,0.1,0.2,0.09,1/11,18,81,92,26,10,10
"Seraph
KRÜ",,109,0.86,173.3,0.76,0.69,118.9,0.55,0.35,0.06,0.11,0.19,,0/11,18,60,79,38,6,12
