Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"Cryocells
XSET",,119,1.22,249.6,1.39,0.75,158.8,0.89,0.11,0.15,0.06,0.24,0.06,1/16,28,106,76,13,18,7
"Sayf
GLD",(+1),229,1.22,260.9,1.35,0.71,158.2,0.9,0.17,0.15,0.13,0.28,0.21,7/33,26,207,153,40,34,30
"Shao
FPX",(+3),554,1.15,218.6,1.18,0.77,147.2,0.76,0.31,0.08,0.06,0.35,0.25,21/83,29,422,357,170,45,31
"yay
OPTC",,393,1.14,246.3,1.22,0.69,154.4,0.85,0.14,0.19,0.13,0.22,0.16,8/51,24,333,273,55,74,53
"MaKo
DRX",(+1),253,1.13,212.8,1.11,0.78,133.7,0.71,0.48,0.06,0.07,0.24,0.09,3/32,19,180,162,121,15,18
"trexx
GLD",,229,1.13,237.7,1.1,0.76,164,0.79,0.34,0.12,0.11,0.19,0.22,5/23,31,181,164,78,28,26
"saadhak
LOUD",(+1),136,1.12,228.2,1.02,0.71,153.9,0.74,0.38,0.15,0.11,0.27,0.18,2/11,25,100,98,52,21,15
"Leo
GLD",,229,1.11,206.1,1.24,0.79,138.4,0.79,0.29,0.07,0.02,0.24,0.07,2/28,29,182,147,67,16,5
"SUYGETSU
FPX",(+1),340,1.11,215.5,1.22,0.75,144.5,0.81,0.23,0.08,0.06,0.32,0.15,8/52,30,275,225,78,28,19
"Derke
FNC",,234,1.11,247.9,1.11,0.72,158.6,0.83,0.16,0.24,0.16,0.25,0.06,1/17,29,195,176,37,57,38
"ardiis
FPX",,554,1.11,230.4,1.22,0.73,147.6,0.82,0.23,0.14,0.09,0.22,0.14,9/64,29,457,376,129,76,50
"Tacolilla
LEV",,222,1.1,204.2,1.14,0.67,124.9,0.73,0.11,0.15,0.07,0.26,0.13,5/38,26,162,142,25,33,16
"zekken
XSET",,119,1.09,241.6,1.11,0.74,158,0.82,0.22,0.14,0.14,0.23,0.07,1/15,24,97,87,26,17,17
