Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"yay
OPTC",,127,1.43,270.2,1.8,0.8,163.4,0.99,0.1,0.2,0.06,0.22,0.08,1/13,29,126,70,13,26,7
"Shyy
LEV",,91,1.31,233,1.32,0.77,144.9,0.81,0.58,0.04,0.08,0.27,0.27,3/11,28,74,56,53,4,7
"BuZz
DRX",,103,1.28,271.3,1.2,0.74,164.5,0.86,0.18,0.26,0.17,0.23,0.25,2/8,28,89,74,19,27,18
"crashies
OPTC",(+1),127,1.25,221,1.27,0.74,142.3,0.78,0.43,0.06,0.04,0.25,0.13,2/16,28,99,78,55,8,5
"Shao
FPX",,143,1.23,214.4,1.3,0.83,148.7,0.78,0.46,0.06,0.06,0.29,0.21,4/19,23,112,86,66,8,8
"Laz
ZETA",,148,1.23,245,1.31,0.71,156.1,0.86,0.21,0.15,0.09,0.28,0.2,6/30,25,128,98,31,22,14
"kiNgg
LEV",,91,1.2,246,1.22,0.79,148.9,0.85,0.3,0.26,0.13,0.2,,0/6,24,77,63,27,24,12
"pANcada
LOUD",(+1),144,1.2,204.9,1.24,0.76,131.7,0.75,0.36,0.08,0.03,0.32,0.06,1/16,21,108,87,52,11,5
"Rb
DRX",(+1),103,1.19,224.8,1.3,0.78,151.6,0.81,0.27,0.15,0.13,0.35,0.13,1/8,27,83,64,28,15,13
"Jamppi
TL",,156,1.18,243,1.36,0.77,154.9,0.87,0.14,0.19,0.12,0.21,0.22,4/18,29,136,100,22,29,18
"MaKo
DRX",(+1),103,1.16,214.3,1.15,0.83,143.9,0.74,0.51,0.04,0.06,0.26,0.25,2/8,28,76,66,53,4,6
"Alfajer
FNC",,167,1.16,268.1,1.12,0.78,175.3,0.85,0.26,0.18,0.12,0.22,0.27,3/11,21,142,127,43,30,20
"zekken
XSET",,102,1.16,257.4,1.25,0.74,170.8,0.97,0.2,0.18,0.16,0.27,0.22,2/9,30,99,79,20,18,16
"Mistic
FNC",(+1),167,1.16,223.1,1.29,0.75,145.4,0.83,0.32,0.08,0.05,0.28,0.3,6/20,24,139,108,53,13,8
"Derke
FNC",,167,1.16,233.6,1.31,0.71,155.3,0.87,0.13,0.15,0.14,0.35,0.25,4/16,23,145,111,22,25,24
"SUYGETSU
FPX",,143,1.16,219.9,1.26,0.8,149.9,0.78,0.38,0.05,0.03,0.39,0.18,4/22,21,112,89,54,7,4
"Tacolilla
LEV",,91,1.16,221.8,1.26,0.76,140.2,0.8,0.26,0.12,0.13,0.3,0.29,4/14,21,73,58,24,11,12
"BcJ
XSET",,102,1.14,213,1.15,0.76,135,0.75,0.36,0.09,0.09,0.18,0.36,4/11,24,76,66,37,9,9
"Melser
LEV",,91,1.13,200.8,1.26,0.76,130.1,0.74,0.35,0.07,0.09,0.26,0.11,1/9,20,67,53,32,6,8
"ScreaM
TL",,156,1.13,231,1.24,0.71,153.6,0.76,0.21,0.16,0.15,0.31,0.17,2/12,20,119,96,33,25,24
"stax
DRX",,103,1.13,192.3,1.21,0.79,123.3,0.74,0.3,0.06,0.02,0.35,0.12,2/17,26,76,63,31,6,2
"Less
LOUD",(+1),144,1.13,227.1,1.29,0.71,150.1,0.83,0.17,0.08,0.12,0.23,0.19,3/16,22,119,92,25,12,17
"keznit
KRÜ",(+1),144,1.11,237.4,1.01,0.67,151.2,0.78,0.35,0.19,0.19,0.27,,0/13,23,112,111,51,27,27
"ardiis
FPX",(+1),143,1.11,235.1,1.13,0.72,144.1,0.81,0.24,0.18,0.08,0.22,0.22,2/9,29,116,103,35,26,12
"Cryocells
XSET",,102,1.1,235.4,1.19,0.75,146.9,0.84,0.17,0.17,0.11,0.23,0.15,2/13,26,86,72,17,17,11
"Mazino
KRÜ",,144,1.09,223.6,1.08,0.67,144.2,0.75,0.4,0.07,0.09,0.29,0.06,1/16,19,108,100,58,10,13
"NagZ
KRÜ",,144,1.08,213.3,1.11,0.75,138,0.76,0.15,0.17,0.1,0.25,0.15,3/20,24,110,99,21,24,14
"Zyppan
FPX",,143,1.08,225.1,1.07,0.76,150.7,0.78,0.29,0.18,0.1,0.3,0.07,1/14,27,112,105,41,26,14
