Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"Boo
																			TH",,492,,177.6,1.05,,110.2,0.65,0.42,0.09,0.06,,,,20,320,306,207,42,30
"nobody
																			EDG",,78,,159,0.7,,102.9,0.56,0.29,0.06,0.14,,,,21,44,63,23,5,11
"Meteor
																			GEN",,388,,230.8,1.22,,150.8,0.84,0.13,0.11,0.09,,,,31,326,267,51,43,36
"Karon
																			GEN",(+1),388,,193.2,1.13,,125.9,0.7,0.45,0.06,0.07,,,,26,270,238,175,22,28
"C0M
																			LEV",(+1),162,,146,0.73,,96,0.5,0.26,0.07,0.09,,,,16,81,111,42,11,15
"tex
																			LEV",,162,,219.8,1.16,,145.7,0.77,0.23,0.07,0.07,,,,20,125,108,37,12,12
"Mazino
																			LEV",(+2),162,,199.3,1.01,,135.8,0.73,0.36,0.09,0.08,,,,30,119,118,59,14,13
"aspas
																			LEV",,162,,237.8,1.17,,158,0.85,0.17,0.21,0.12,,,,23,137,117,28,34,20
"kiNgg
																			LEV",,162,,210.1,1.05,,140.7,0.75,0.32,0.09,0.1,,,,28,121,115,52,14,16
"Jinggg
																			PRX",,171,,217.5,0.99,,151.7,0.77,0.21,0.09,0.1,,,,24,132,134,36,15,17
"mindfreak
																			PRX",,171,,180.4,0.91,,120.7,0.64,0.32,0.06,0.05,,,,23,110,121,55,11,8
"f0rsakeN
																			PRX",(+1),171,,189,0.89,,122,0.67,0.43,0.08,0.13,,,,29,114,128,74,13,22
"d4v41
																			PRX",(+2),171,,182.5,1.03,,128.4,0.68,0.32,0.05,0.06,,,,20,117,114,55,8,10
"something
																			PRX",,171,,237.8,1.12,,152.2,0.81,0.29,0.2,0.19,,,,25,138,123,49,34,33
"ZmjjKK
																			EDG",,78,,243,0.91,,154.1,0.81,0.15,0.17,0.17,,,,20,63,69,12,13,13
"Munchkin
																			GEN",,388,,177.6,0.98,,119.5,0.62,0.39,0.06,0.09,,,,21,239,244,151,23,35
"Haodong
																			EDG",,78,,136,0.54,,83.6,0.45,0.21,0.12,0.12,,,,14,35,65,16,9,9
"Smoggy
																			EDG",,78,,237,1.1,,156.4,0.82,0.26,0.09,0.04,,,,25,64,58,20,7,3
"CHICHOO
																			EDG",,78,,186.5,0.88,,122.4,0.65,0.26,0.05,0.05,,,,15,51,58,20,4,4
"Asuna
																			100T",,188,,202.8,0.98,,135.3,0.7,0.3,0.12,0.15,,,,24,131,134,57,22,28
"Boostio
																			100T",,188,,183,0.91,,125.1,0.66,0.2,0.1,0.12,,,,22,125,137,37,19,22
"eeiu
																			100T",,188,,188.9,1,,124.5,0.66,0.25,0.05,0.05,,,,16,124,124,47,10,10
"bang
																			100T",,188,,200.2,1.01,,133.8,0.7,0.25,0.1,0.06,,,,23,131,130,47,18,11
"Cryocells
																			100T",,188,,219.2,1.07,,140.2,0.78,0.26,0.12,0.14,,,,32,146,137,48,22,26
"Boaster
																			FNC",,125,,137,0.65,,95.4,0.47,0.31,0.08,0.11,,,,17,59,91,39,10,14
"Chronicle
																			FNC",(+1),125,,172.5,0.81,,118.1,0.59,0.33,0.06,0.11,,,,19,74,91,41,8,14
"Leo
																			FNC",(+1),125,,186.3,1.01,,124.6,0.65,0.36,0.03,0.05,,,,19,81,80,45,4,6
"Derke
																			FNC",,125,,258.5,1.17,,165.3,0.86,0.23,0.18,0.12,,,,26,108,92,29,22,15
"t3xture
																			GEN",,388,,241.2,1.21,,148.2,0.85,0.14,0.22,0.17,,,,28,328,272,55,84,67
